anio_defuncion,entidad_defuncion,edad_quinquenal,sexo,F10,F11,F12,F14,F15,F17,F18,F19,F13,F16,cve_entidad,fecha,entidad_defuncion_etq
2011,AGUASCALIENTES,25 a 29 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,25 a 29 años,Masculino,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,25 a 29 años,No Especificado,0.0,,,,,,,,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,30 a 34 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,30 a 34 años,Masculino,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,30 a 34 años,No Especificado,0.0,,,,,,,,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,35 a 39 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,35 a 39 años,Masculino,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,35 a 39 años,No Especificado,0.0,,,,,,,,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,40 a 44 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,40 a 44 años,Masculino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,40 a 44 años,No Especificado,0.0,,,,,,,,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,45 a 49 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,45 a 49 años,Masculino,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,45 a 49 años,No Especificado,1.0,,,,,,,,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,50 a 54 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,50 a 54 años,Masculino,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,50 a 54 años,No Especificado,0.0,,,,,,,,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,55 a 59 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,55 a 59 años,Masculino,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,55 a 59 años,No Especificado,0.0,,,,,,,,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,60 a 64 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,60 a 64 años,Masculino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,60 a 64 años,No Especificado,0.0,,,,,,,,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,65 a 69 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,65 a 69 años,Masculino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,65 a 69 años,No Especificado,0.0,,,,,,,,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,70 a 74 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,70 a 74 años,Masculino,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,70 a 74 años,No Especificado,0.0,,,,,,,,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,75 a 79 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,75 a 79 años,Masculino,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,75 a 79 años,No Especificado,0.0,,,,,,,,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,80 a 84 años,Femenino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,80 a 84 años,Masculino,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,80 a 84 años,No Especificado,0.0,,,,,,,,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,No especificado,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,No especificado,Masculino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2011-12-31,Aguascalientes
2011,AGUASCALIENTES,No especificado,No Especificado,0.0,,,,,,,,,,1,2011-12-31,Aguascalientes
2011,BAJA CALIFORNIA,20 a 24 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2,2011-12-31,Baja California
2011,BAJA CALIFORNIA,20 a 24 años,Masculino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,2,2011-12-31,Baja California
2011,BAJA CALIFORNIA,20 a 24 años,No Especificado,0.0,,,,,,,,,,2,2011-12-31,Baja California
2011,BAJA CALIFORNIA,30 a 34 años,Femenino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2,2011-12-31,Baja California
